"year","President","party","tough","polite","vague","tough_pct","polite_pct","vague_pct"
1986,"Reagan","Republican",16,6,1,8.51970181043663,3.19488817891374,0.53248136315229
1987,"Reagan","Republican",8,7,0,4.18628990057562,3.66300366300366,0
1988,"Reagan","Republican",9,9,3,3.54749704375246,3.54749704375246,1.18249901458415
1989,"Bush","Republican",19,5,2,7.68919465803318,2.02347227842979,0.809388911371914
1990,"Bush","Republican",11,4,1,5.71725571725572,2.07900207900208,0.51975051975052
1991,"Bush","Republican",11,8,0,5.44015825914936,3.9564787339268,0
1992,"Bush","Republican",8,9,0,3.16080600553141,3.55590675622284,0
1993,"Clinton","Democratic",13,9,6,3.84387936132466,2.66114725014784,1.77409816676523
1994,"Clinton","Democratic",21,16,1,5.58065373372309,4.25192665426521,0.265745415891576
1995,"Clinton","Democratic",19,19,3,4.3230944254835,4.3230944254835,0.68259385665529
1996,"Clinton","Democratic",19,25,2,5.86057988895743,7.71128932757557,0.616903146206046
1997,"Clinton","Democratic",19,16,1,5.31171372658653,4.47302208554655,0.279563880346659
1998,"Clinton","Democratic",20,17,0,5.18672199170125,4.40871369294606,0
1999,"Clinton","Democratic",35,11,3,8.76973189676773,2.75620145326986,0.751691305437234
2000,"Clinton","Democratic",12,14,0,2.52259827622451,2.94303132226193,0
2001,"Bush","Republican",24,12,2,10.2476515798463,5.12382578992314,0.85397096498719
2002,"Bush","Republican",33,8,1,15.8197507190796,3.83509108341323,0.479386385426654
2003,"Bush","Republican",29,6,3,10.0589663544918,2.08116545265349,1.04058272632674
2004,"Bush","Republican",15,13,1,5.32103582830791,4.61156438453352,0.354735721887194
2005,"Bush","Republican",43,8,1,15.9673226884515,2.97066468622354,0.371333085777943
2006,"Bush","Republican",25,13,1,8.81523272214386,4.58392101551481,0.352609308885755
2007,"Bush","Republican",22,14,0,7.58097863542385,4.82425913163336,0
2008,"Bush","Republican",17,12,0,5.52845528455285,3.90243902439024,0
2009,"Obama","Democratic",10,4,3,3.35232986925914,1.34093194770365,1.00569896077774
2010,"Obama","Democratic",18,7,4,5.02793296089385,1.95530726256983,1.11731843575419
2011,"Obama","Democratic",6,16,0,1.74570846668606,4.6552225778295,0
2012,"Obama","Democratic",14,13,1,3.82932166301969,3.55579868708972,0.273522975929978
2013,"Obama","Democratic",21,18,0,5.99828620394173,5.1413881748072,0
2014,"Obama","Democratic",23,15,0,6.31347790282734,4.11748558880044,0
2015,"Obama","Democratic",18,12,2,5.17241379310345,3.44827586206897,0.574712643678161
2016,"Obama","Democratic",21,14,0,6.92155570204351,4.614370468029,0
2017,"Trump","Republican",13,11,1,4.9486105824134,4.18728587742672,0.380662352493338
2018,"Trump","Republican",12,16,4,3.88978930307942,5.18638573743922,1.29659643435981
2019,"Trump","Republican",11,14,3,3.64479787939033,4.6388336646786,0.99403578528827
